uid,days,date,time.first.trial,lat.totouch.s.day,success
30,1,4-Jun-18,8:24,5,0
30,2,8-Jun-18,10:13,5,0
30,3,19-Jun-18,9:19,108?,0
30,4,21-Jun-18,7:53,10,0
29,1,21-Jun-18,8:03,2,0
12,1,3-Jun-18,9:24,5,0
27,1,3-Jun-18,8:26,9,
27,2,18-Jun-18,8:17,3,
27,3,19-Jun-18,11:12,6,
27,4,21-Jun-18,7:49,0,
27,5,22-Jun-18,7:17,142,
22,1,3-Jun-18,9:50,93? Or 160,0
22,2,18-Jun-18,8:50,NA,0
22,3,19-Jun-18,7:43,26,0
51,1,13-Jun-18,7:14,3,0
21,1,3-Jun-18,9:03,6,0
21,2,18-Jun-18,8:49,60,0
21,3,19-Jun-18,8:22,15,0
21,4,21-Jun-18,7:43,4,0
21,5,22-Jun-18,7:21,10,0
