uid,col,age,sex
1,tw,Y,F
2,tw,Y,M
3,tw,Y,F
4,tw,Y,M
5,tw,A,F
6,tw,Y,F
7,tw,A,M
8,tw,Y,F
9,tw,A,F
12,mm,Y,M
13,mm,Y,M
14,mm,A,F
15,mm,Y,M
16,mm,Y,F
17,mm,A,F
18,mm,Y,M
19,mm,A,F
20,mm,A,F
21,mm,Y,F
22,mm,Y,F
23,mm,A,F
24,pc,A,F
25,pc,A,M
26,pc,A,F
29,pc,Y,M
30,pc,Y,M
34,pc,A,F
40,npk,A,F
41,npk,A,M
42,ra,A,F
43,ra,A,F
45,a,Y,F
47,a,Y,M
48,br,Y,M
49,br,Y,M
50,br,Y,F
51,br,Y,F
53,br,Y,F
54,br,A,F
58,br,A,M
59,b,A,M
60,b,A,F
61,mm,A,M
69,a,P,M
