col,uid_ini,uid_rec,uid_win,interac_type,sexi,sexr
br,49,NA,49,disp_proximity,M,NA
br,50,54,NA,sit_<1m,F,F
br,50,NA,NA,sit_<1m,F,NA
br,54,NA,NA,sit_<1m,F,NA
br,54,NA,NA,sit_<1m,F,NA
br,54,NA,NA,sit_bc,F,NA
br,NA,NA,NA,sit_bc,NA,NA
br,NA,54,NA,sit_bc,NA,F
br,51,NA,NA,play_wrestle,F,NA
br,54,50,NA,sit_bc,F,F
br,58,50,58,greet,M,F
br,50,54,50,sit_bc,F,F
br,54,50,NA,sit_<1m,F,F
br,54,50,NA,sit_<1m,F,F
br,54,NA,NA,sit_bc,F,NA
br,NA,54,NA,sit_<1m,NA,F
br,48,49,NA,greet,M,M
br,49,50,NA,sit_bc,M,F
br,48,49,NA,greet,M,M
br,48,49,NA,allogroom,M,M
br,48,50,NA,sit_bc,M,F
br,48,49,NA,sit_<1m,M,M
br,49,50,NA,sit_<1m,M,F
br,50,49,NA,greet,F,M
br,50,48,NA,allogroom,F,M
br,50,48,NA,sit_bc,F,M
br,49,48,NA,sit_<1m,M,M
br,48,49,NA,greet,M,M
br,48,49,NA,greet,M,M
br,48,49,NA,sit_bc,M,M
br,48,49,NA,allogroom,M,M
br,48,49,NA,sit_bc,M,M
br,48,49,NA,sit_<1m,M,M
br,NA,50,NA,greet,NA,F
br,NA,50,NA,allogroom,NA,F
br,NA,50,NA,disp_simple,NA,F
br,50,48,NA,greet,F,M
br,48,50,NA,allogroom,M,F
br,48,NA,NA,sit_bc,M,NA
br,48,50,NA,sit_bc,M,F
br,49,NA,NA,sit_bc,M,NA
br,NA,48,NA,allogroom,NA,M
br,48,NA,NA,play_bite,M,NA
br,48,49,NA,allogroom,M,M
br,NA,48,NA,allogroom,NA,M
br,48,NA,NA,play_bite,M,NA
br,48,NA,NA,play_bite,M,NA
br,48,NA,NA,play_bite,M,NA
br,48,49,NA,allogroom,M,M
br,48,49,NA,play_bite,M,M
br,48,49,NA,sit_bc,M,M
br,48,49,NA,sit_bc,M,M
br,48,50,NA,sit_bc,M,F
br,51,48,NA,sit_<1m,F,M
br,51,49,NA,sit_<1m,F,M
br,49,48,NA,sit_<1m,M,M
br,49,51,49,play_mouthspar,M,F
br,49,51,49,play_bite,M,F
br,49,51,49,play_bite,M,F
br,49,51,49,allogroom,M,F
br,51,49,49,play_bite,F,M
br,51,49,49,play_grab/slap/push,F,M
br,49,51,49,disp_proximity,M,F
br,49,51,49,sit_bc,M,F
br,NA,56,NA,agr_chase,NA,M
br,NA,NA,NA,greet,NA,NA
br,49,52,49,greet,M,F
br,49,52,49,allogroom,M,F
br,49,52,49,sit_bc,M,F
br,50,NA,NA,sit_<1m,F,NA
br,50,51,NA,sit_<1m,F,F
br,51,50,51,sit_<1m,F,F
br,NA,51,NA,sit_<1m,NA,F
br,NA,50,NA,sit_<1m,NA,F
br,51,49,49,sit_<1m,F,M
br,NA,49,NA,sit_<1m,NA,M
br,51,49,49,sit_<1m,F,M
br,51,NA,NA,sit_<1m,F,NA
br,51,NA,NA,sit_<1m,F,NA
br,51,NA,NA,sit_<1m,F,NA
br,NA,NA,NA,sit_<1m,NA,NA
br,52,NA,NA,sit_bc,F,NA
br,NA,52,NA,sit_bc,NA,F
br,49,50,NA,sit_<1m,M,F
br,49,50,NA,sit_bc,M,F
br,49,50,NA,allogroom,M,F
br,49,50,NA,sit_<1m,M,F
br,49,50,NA,greet,M,F
br,49,50,NA,disp_simple,M,F
br,50,49,NA,sit_<1m,F,M
br,50,49,NA,sit_bc,F,M
br,58,49,NA,sit_<1m,M,M
br,58,50,NA,sit_<1m,M,F
br,49,50,NA,sit_<1m,M,F
br,NA,NA,NA,greet,NA,NA
br,48,49,49,sit_bc,M,M
br,48,49,49,sit_<1m,M,M
br,48,49,49,greet,M,M
br,52,56,NA,greet,F,M
